name,price,status,shipping,free_returns,items_sold
New Pokemon SoulSilver Game Card for Nintendo DS Game card For DS 2DS 3DS US,1882,Brand New,0,True,
"Pokemon Home 2880 Pokemon COMPLETE Gen 1-7 DEX, 800+ EVENT, ALL Forms, Legendary",999,Brand New,0,True,
Hyrule Warriors: Definitive Edition - Nintendo Switch,5948,Brand New,0,True,73
"Sonic's Ultimate Genesis Collection (Microsoft Xbox 360, 2009)",1349,Brand New,0,True,
"Assassin's Creed Valhalla Standard Edition - PlayStation 4, PlayStation 5",,Brand New,399,True,
Forza Motorsport 7 Xbox One  -  Xbox One exclusive - ESRB Rated E - Racing game,1999,Brand New,0,True,346
Uncharted: Collection for PlayStation 4 [New Video Game] PS 4,1499,Brand New,0,True,
Super Robot Wars 30 - Nintendo Switch,7999,Brand New,0,True,
"Rollercoaster Tycoon Adventures (Nintendo Switch, 2018) - FREE SHIPPING! And New",2899,Brand New,0,True,
NINTENDO SWITCH GAMES LOT | BRAND NEW FACTORY SEALED | PICK & CHOOSE YOUR TITLE,1595,Brand New,0,True,4
NSW  Untitled Goose Game: Nintendo Switch [Brand New],2798,Brand New,0,True,13
"Animal Crossing: Wild World (Nintendo DS, 2005) / DSi / 3DS XL- USA VERSION",1399,Brand New,0,True,40
Nintendo DS NDS games Better/Rarer game Lot Buy 2 5% off Buy 3+ 10% off,690,Pre-Owned,0,True,
Super Game 208 in 1 Video Games Cartridge for Nintendo NDS NDSL NDSi 3DS 2DS US,1989,Brand New,0,True,
Set ALL5 Pokemon RUBY FIRERED EMERALD SAPPHIRE GBA VERSION GAME CARD,3299,Brand New,0,True,
HeartGold SoulSilver/Super Mario/Crystal/Emerald Game Cards For 3DS/GBA Pokemon',1515,Brand New,0,True,11
REDOUT PS4 GAME NEW,1484,Brand New,0,True,24
Left Alive - Day One Edition PS4 [Brand New],794,Brand New,0,True,57
New ListingDiablo 2 Resurrected Lo Rune D2R PC Diablo II Rune Lo,4900,Brand New,0,True,
Nemesis Board Game NIB,12999,Brand New,0,True,244
New Listing Bells and Nook Mile Tickets,399,Brand New,0,True,
War Shooter games (Playstation 2) Ps2 TESTED,397,Pre-Owned,425,True,58
Minecraft Dungeons Hero Edition - Xbox One - Brand New | Portuguese Cover,1499,Brand New,0,True,
Horse Club Adventures Nintendo Switch - Brand New Factory Sealed,3595,Brand New,0,True,
Xenoblade Chronicles 2 - Nintendo Switch,5999,Brand New,0,True,
Call of Duty: Infinite Warfare PS4 [Brand New],1999,Brand New,0,True,402
Mario Party  2 Video Game Cartridge for Nintendo 64 N64 Game Console US Version,2299,Brand New,0,True,40
Super Mario All-Stars - Nintendo SNES Game Authentic,2529,Pre-Owned,295,True,101
Monopoly Game,2099,Brand New,0,True,
ZERAORA 🌟 SHINY 🌟 NON-SHINY 6IV - POKEMON SWORD AND SHIELD,199,New (Other),0,True,73
DIANCIE 🌟 SHINY 🌟 NON-SHINY 6IV - POKEMON SWORD AND SHIELD,199,New (Other),0,True,
Pokemon Ruby Game Boy Advance GBA,1899,Brand New,0,True,
Call of Duty: Infinite Warfare PS4 [Brand New],1999,Brand New,0,True,402
CHARIZARD GMAX 🌟 SHINY 🌟 NON-SHINY 6IV VGC - POKEMON SWORD AND SHIELD,199,New (Other),0,True,96
"Yoshi's Crafted World, Nintendo, Nintendo Switch NEW + FREE SHIPPING !!!",4286,Brand New,0,True,
Metroid Fusion with Hard Mode for GBA Nintendo Game Boy Advance English cart,1999,New (Other),0,True,
"New ListingCrysis Remastered Trilogy PlayStation 4 , 2021 PS4 3 Games Crysis 1 , 2 + 3 NEW!",2999,Brand New,0,True,
Legend of Zelda Link's Awakening (Nintendo Switch) Includes Case and Cartridge,4398,New (Other),0,True,49
PlayStation 4 Games - PS4 - Many Titles,250,Pre-Owned,400,True,
XBOX 360 Games - Xbox 360 Lot! Great Selection!! Low Prices & Shipping!!! ,200,Pre-Owned,350,True,
Nintendo Super Famicom Game SFC SNES Japan Import US Seller Updated 11/2/21 #1,689,Pre-Owned,0,True,7
GAMESTOP SHINY ZACIAN code Sword and & Shield game Nintendo switch (zamazenta),245,Brand New,0,True,48
